Ticker,Name,Exchange
XDRGBP=X,XDR/GBP,CCY
EURKYD=X,EUR/KYD,CCY
CNYMUR=X,CNY/MUR,CCY
OMRLKR=X,OMR/LKR,CCY
NZDKWD=X,NZD/KWD,CCY
DKKEGP=X,DKK/EGP,CCY
EUR-SCR.F,EUR/SCR,FRA
SGDGHS=X,SGD/GHS,CCY
JPYHRK=X,JPY/HRK,CCY
KWDJPY=X,KWD/JPY,CCY
CADLBP=X,CAD/LBP,CCY
NOKIDR=X,NOK/IDR,CCY
CADLRD=X,CAD/LRD,CCY
PLNBMD=X,PLN/BMD,CCY
SEKJMD=X,SEK/JMD,CCY
AEDUSD=X,AED/USD,CCY
AEDTND=X,AED/TND,CCY
XAG=X,SILVER 1 OZ 999 NY,CCY
EURSBD=X,EUR/SBD,CCY
ZARSEK=X,ZAR/SEK,CCY
TWDIDR=X,TWD/IDR,CCY
SEKEGP=X,SEK/EGP,CCY
PKR=X,USD/PKR,CCY
GBPFJD=X,GBP/FJD,CCY
THBXDR=X,THB/XDR,CCY
EURSRD=X,EUR/SRD,CCY
CHFINR=X,CHF/INR,CCY
CUPGBP=X,CUP/GBP,CCY
ZARRUB=X,ZAR/RUB,CCY
CADBDT=X,CAD/BDT,CCY
THBPKR=X,THB/PKR,CCY
CADTRY=X,CAD/TRY,CCY
NZDEGP=X,NZD/EGP,CCY
ZARTND=X,ZAR/TND,CCY
LKRDKK=X,LKR/DKK,CCY
CADZMW=X,CAD/ZMW,CCY
PKREUR=X,PKR/EUR,CCY
OSFX.EX,SILVER,EUX
EURCADFIX=X,EUR/CAD FIXING,CCY
MYRTHB=X,MYR/THB,CCY
LTLDKK=X,LTL/DKK,CCY
CZKGBP=X,CZK/GBP,CCY
SCREUR=X,SCR/EUR,CCY
SEKJPY=X,SEK/JPY,CCY
OMRCZK=X,OMR/CZK,CCY
EUR-HTG.F,EUR/HTG,FRA
EUR-LVL.F,EUR/LVL,FRA
JPYMNT=X,JPY/MNT,CCY
MOPJPY=X,MOP/JPY,CCY
AUDAED=X,AUD/AED,CCY
BGNCHF=X,BGN/CHF,CCY
GBPBTN=X,GBP/BTN,CCY
TNDKES=X,TND/KES,CCY
PHPILS=X,PHP/ILS,CCY
PLNPEN=X,PLN/PEN,CCY
GELEUR=X,GEL/EUR,CCY
SYPEUR=X,SYP/EUR,CCY
THBJPY=X,THB/JPY,CCY
WSTGBP=X,WST/GBP,CCY
CHFFJD=X,CHF/FJD,CCY
EUR-BYR.F,EUR/BYR,FRA
EUR-DKK.F,EUR/DKK,FRA
HKDMXN=X,HKD/MXN,CCY
THBLKR=X,THB/LKR,CCY
XPFCAD=X,XPF/CAD,CCY
NZDMUR=X,NZD/MUR,CCY
MOPGBP=X,MOP/GBP,CCY
CHFMZN=X,CHF/MZN,CCY
CADUYU=X,CAD/UYU,CCY
RONZAR=X,RON/ZAR,CCY
SARJOD=X,SAR/JOD,CCY
TWDAED=X,TWD/AED,CCY
KRWISK=X,KRW/ISK,CCY
ILSMAD=X,ILS/MAD,CCY
MYRINR=X,MYR/INR,CCY
GBPCRC=X,GBP/CRC,CCY
CHFALL=X,CHF/ALL,CCY
EUR-LBP.F,EUR/LBP,FRA
PKRZAR=X,PKR/ZAR,CCY
EURSTD=X,EUR/STD,CCY
EURBAM=X,EUR/BAM,CCY
CHFBIF=X,CHF/BIF,CCY
RONKWD=X,RON/KWD,CCY
GIPUSD=X,GIP/USD,CCY
JPYNZD=X,JPY/NZD,CCY
EUR-STD.F,EUR/STD,FRA
PHPMUR=X,PHP/MUR,CCY
JPYGYD=X,JPY/GYD,CCY
EURTJS=X,EUR/TJS,CCY
MXNIDR=X,MXN/IDR,CCY
CADUSD=X,CAD/USD,CCY
PHPKWD=X,PHP/KWD,CCY
CZKOMR=X,CZK/OMR,CCY
CHFXOF=X,CHF/XOF,CCY
ISKMXN=X,ISK/MXN,CCY
LYDXDR=X,LYD/XDR,CCY
NOKCNY=X,NOK/CNY,CCY
ZARTHB=X,ZAR/THB,CCY
CHFCNY=X,CHF/CNY,CCY
19666227.SW,SILVER COINS 5 KG,EBS
LKRPHP=X,LKR/PHP,CCY
JMD=X,USD/JMD,CCY
DKKCAD=X,DKK/CAD,CCY
MYR=X,USD/MYR,CCY
JPYCLP=X,JPY/CLP,CCY
EUR-BGN.F,EUR/BGN,FRA
AUDLVL=X,AUD/LVL FIXING,CCY
TNDZAR=X,TND/ZAR,CCY
HRKAUD=X,HRK/AUD,CCY
JPYBRL=X,JPY/BRL,CCY
THBNOK=X,THB/NOK,CCY
EGPTND=X,EGP/TND,CCY
NZDTWD=X,NZD/TWD,CCY
ISKLTL=X,ISK/LTL,CCY
EUR-BZD.F,EUR/BZD,FRA
INRCHF=X,INR/CHF,CCY
NZDCNH=X,NZD/CNH,CCY
MYRXDR=X,MYR/XDR,CCY
ANGUSD=X,ANG/USD,CCY
MADIDR=X,MAD/IDR,CCY
AUDXDR=X,AUD/XDR,CCY
BRL=X,USD/BRL,CCY
AUDMOP=X,AUD/MOP,CCY
SARXDR=X,SAR/XDR,CCY
UGX=X,USD/UGX,CCY
MXNINR=X,MXN/INR,CCY
CHFPLN=X,CHF/PLN,CCY
BSD=X,USD/BSD,CCY
AZNGBP=X,AZN/GBP,CCY
EUR-EEK.F,EUR/EEK FIXING,FRA
EURBOB=X,EUR/BOB,CCY
AEDLVL=X,AED/LVL FIXING,CCY
MYRPEN=X,MYR/PEN,CCY
CZKTHB=X,CZK/THB,CCY
GBPSGD=X,GBP/SGD,CCY
CHFBAM=X,CHF/BAM,CCY
VEFCLP=X,VEF/CLP FIXING,CCY
INRLTL=X,INR/LTL,CCY
TTD=X,USD/TTD,CCY
EURSLL=X,EUR/SLL,CCY
XCDCAD=X,XCD/CAD,CCY
JODMXN=X,JOD/MXN,CCY
LTLISK=X,LTL/ISK,CCY
PLNRUB=X,PLN/RUB,CCY
UAHCHF=X,UAH/CHF,CCY
MURCAD=X,MUR/CAD,CCY
SGDIDR=X,SGD/IDR,CCY
MURDKK=X,MUR/DKK,CCY
GBPCAD=X,GBP/CAD,CCY
UYUCHF=X,UYU/CHF,CCY
TNDQAR=X,TND/QAR,CCY
CADCNY=X,CAD/CNY,CCY
PHPHUF=X,PHP/HUF,CCY
CHFXDR=X,CHF/XDR,CCY
NPREUR=X,NPR/EUR,CCY
BOBVEF=X,BOB/VEF,CCY
MXNJPY=X,MXN/JPY,CCY
XCD=X,USD/XCD,CCY
HKDLBP=X,HKD/LBP,CCY
LKRTWD=X,LKR/TWD,CCY
JPYMZN=X,JPY/MZN,CCY
IDR=X,USD/IDR,CCY
EURUZS=X,EUR/UZS,CCY
MURISK=X,MUR/ISK,CCY
HKDAUD=X,HKD/AUD,CCY
CADMWK=X,CAD/MWK,CCY
TNDCZK=X,TND/CZK,CCY
AEDLTL=X,AED/LTL,CCY
CNYQAR=X,CNY/QAR,CCY
EUR-CLP.F,EUR/CLP,FRA
NZDHUF=X,NZD/HUF,CCY
GBPBRL=X,GBP/BRL,CCY
MADISK=X,MAD/ISK,CCY
BMD=X,USD/BMD,CCY
KRWCRC=X,KRW/CRC,CCY
CNYKWD=X,CNY/KWD,CCY
KWDUSD=X,KWD/USD,CCY
MDL=X,USD/MDL,CCY
MXNMYR=X,MXN/MYR,CCY
KMF=X,USD/KMF,CCY
SGDLVL=X,SGD/LVL FIXING,CCY
CADHUF=X,CAD/HUF,CCY
GBPLBP=X,GBP/LBP,CCY
MURCZK=X,MUR/CZK,CCY
OCO.PA,COLESEED/CANOLA,PAR
19752571.SW,GOLD 999.9/1000    ,EBS
CHFOMR=X,CHF/OMR,CCY
CHFSBD=X,CHF/SBD,CCY
CADZWL=X,CAD/ZWL,CCY
MXNBRL=X,MXN/BRL,CCY
BWPXDR=X,BWP/XDR,CCY
EUR-VEF.F,EUR/VEF,FRA
ILSPLN=X,ILS/PLN,CCY
TNDPLN=X,TND/PLN,CCY
GBPNPR=X,GBP/NPR,CCY
CNYEGP=X,CNY/EGP,CCY
EURUSD=X,EUR/USD,CCY
BRLARS=X,BRL/ARS,CCY
CNYHUF=X,CNY/HUF,CCY
HRKCHF=X,HRK/CHF,CCY
TRYJPY=X,TRY/JPY,CCY
EODK.F,EUR/DKK FIXING,FRA
JPYMYR=X,JPY/MYR,CCY
SEKAUD=X,SEK/AUD,CCY
JPYAFN=X,JPY/AFN,CCY
GELLVL=X,GEL/LVL FIXING,CCY
AUDGIP=X,AUD/GIP,CCY
EURMXN=X,EUR/MXN,CCY
BRLCAD=X,BRL/CAD,CCY
AEDSEK=X,AED/SEK,CCY
BGNUSD=X,BGN/USD,CCY
LVLKRW=X,LVL/KRW,CCY
HKDNZD=X,HKD/NZD,CCY
FCEP.EX,EUR/GBP,EUX
AUDLKR=X,AUD/LKR,CCY
CADTHB=X,CAD/THB,CCY
PLNAUD=X,PLN/AUD,CCY
EUR-UZS.F,EUR/UZS,FRA
KESSAR=X,KES/SAR,CCY
GBPZMW=X,GBP/ZMW,CCY
SYPDKK=X,SYP/DKK,CCY
HRKMKD=X,HRK/MKD,CCY
NZDRUB=X,NZD/RUB,CCY
LTLTWD=X,LTL/TWD,CCY
MADNZD=X,MAD/NZD,CCY
NZDQAR=X,NZD/QAR,CCY
SEKTRY=X,SEK/TRY,CCY
OMRPKR=X,OMR/PKR,CCY
LVLCZK=X,LVL/CZK FIXING,CCY
JPYKMF=X,JPY/KMF,CCY
QARGBP=X,QAR/GBP,CCY
CHFCVE=X,CHF/CVE,CCY
NOKMAD=X,NOK/MAD,CCY
GBPILS=X,GBP/ILS,CCY
GBPLAK=X,GBP/LAK,CCY
AEDSGD=X,AED/SGD,CCY
ISKKRW=X,ISK/KRW,CCY
TTDUSD=X,TTD/USD,CCY
AUDERN=X,AUD/ERN,CCY
KPW=X,USD/KPW,CCY
JPYILS=X,JPY/ILS,CCY
ISKAUD=X,ISK/AUD,CCY
PLNLKR=X,PLN/LKR,CCY
CHFZWL=X,CHF/ZWL,CCY
PHPDKK=X,PHP/DKK,CCY
MADLVL=X,MAD/LVL,CCY
JPYBOB=X,JPY/BOB,CCY
