Ticker,Name,Exchange
Q7V1311.NYM,Q7 Future OCT 11 2013,NYM
PBNH15.NYM,PBN Future MAR 2015 Trading Ses,NYM
YSH3.AX,3-Year Interest Rate Swaps Futu,ASX
ATM14.CME,Weather Monthly Cooling Degree ,CME
Q7X1307.NYM,Q7 Future NOV 07 2013,NYM
RPTX13.CBT,U.S. Treasury GCF Re RPT 201311,CBT
W0U1318.NYM,W0 Future SEP 18 2013,NYM
GXM14.NYM,"Gasoil Calendar Swap Futures,Ju",NYM
Y9X1311.NYM,Y9 Future NOV 11 2013,NYM
KJV14.NYM,New York Independent System Ope,NYM
U8Q1331.NYM,CIG Rockies Natural Gas Swing S,NYM
R2:IMCH3T.SA,IMC HOLDINGS-ON      NM,SAO
SBH13-2.SI,"SB future for March 2013, being",SES
KAU16.NYM,New York Independent System Ope,NYM
USSK5.AX,Australian Sorghum May 2015 (24,ASX
PNLZ1327.NYM,PNL Future DEC 27 2013 Trading ,NYM
LHH14.NYM,New York Harbor Low Sulfur Dies,NYM
2RF15.NYM,"future for 2R, January, 2015, t",NYM
VG4X13.CME,Weather Little Rock Adams Field,CME
EJLX15.NYM,"future for EJL, November, 2015,",NYM
APV3.AX,S&P;/ASX 200 Index October 2013 ,ASX
AKRH1312.NYM,AKR Future MAR 12 2013,NYM
KM3V1325.NYM,KM3 Future OCT 25 2013,NYM
3YRZ13.CBT,U.S. Treas Notes 3 year Futures,CBT
H3J13.CME,Weather Heating Degree Day Cinc,CME
22J1324.NYM,"Daily or weekly future for 22, ",NYM
X5X1309.NYM,X5 Future NOV 09 2013,NYM
IRC7.AX,90-Day Bank Accepted Bills Marc,ASX
WJJ13.NYM,LLS Argus vs WTI Spread Calenda,NYM
6JM17.CME,Japanese Yen Futures Settlement,CME
D3J14.NYM,NYISO Zone J5 MW Peak Calendar ,NYM
NXU14.NYM,Texas Eastern Zone M-3 Basis Sw,NYM
NPK17.NYM,Henry Hub Penultimate Swap Futu,NYM
K3LM16.NYM,K3L Future JUN 2016 Trading Ses,NYM
AJYM14.CME,Australian Dollar / Japanese Ye,CME
R2:USIM3S.SA,USIMINAS    -ON      N1,SAO
MFSZ13.CBT,"MSCI EAFE Index MFS Futures,Dec",CBT
ZGDV14.NYM,Oman Crude Oil Financial Future,NYM
JSX13.NYM,Los Angeles Jet Spread (OPIS) S,NYM
QMU16.NYM,"Crude Oil miNY Futures,Sep-2016",NYM
VF2X13.CME,Weather Jacksonville Intl Airpo,CME
BVZ7.AX,Base Load Electricity Futures V,ASX
GBTG1306.NYM,"Daily or weekly future for GBT,",NYM
VXNV1304.NYM,VXN Future OCT 04 2013,NYM
KCKU13.CME,"future for KCK, September, 2013",CME
7GN1324.NYM,Dated Brent(Platts Daily Swap F,NYM
HWV13.CME,Weather Monthly Heating Degree ,CME
2ERG3L.MDD,ERG DEC 13/N       ,MDD
ABHU14.NYM,ABH Future SEP 2014 Trading Ses,NYM
EFMX13.NYM,"future for EFM, November, 2013,",NYM
DNPU15.NYM,DNP Future SEP 2015 Trading Ses,NYM
KJN14-2.SI,"KJ future for July 2014, being ",SES
APH13-3.SI,"AP future for March 2013, being",SES
VDLV1330.NYM,"Daily or weekly future for VDL,",NYM
ZGZ15.CBT,Gold 100 oz. Dec 15,CBT
MGG14.NYM,Gulf Coast No. 6 Fuel Oil Crack,NYM
EJK16.NYM,Cinergy Hub OFF-Peak LMP Swap F,NYM
R2:CTAX11T.SA,CONTAX      -UNT     N2,SAO
Y9U1316.NYM,Y9 Future SEP 16 2013,NYM
UVK16.NYM,European 3.5% Fuel Oil Rotterda,NYM
I2TKZ3.EX,I2TK DEC 13/N      ,EUX
PFG16.NYM,"Northern Natural Gas Ventura, I",NYM
A0K13.CME,Weather Monthly Cooling Degree ,CME
ACN13.CBT,Ethanol (Denatured Fuel) Future,CBT
ZTU13.CBT,Two-Year US Treasury Note Futur,CBT
ISMH14.CME,ISM Future MAR 2014,CME
UDN1302.NYM,Northern Illinois Hub Daily Fut,NYM
NDNV13.NYM,NDN Future OCT 2013,NYM
HVT7.AX,Base Load Electricity Strip Vic,ASX
FALM1320.NYM,FAL Future JUN 20 2013,NYM
A1DF1314.NYM,"Daily or weekly future for A1D,",NYM
NRJ14.NYM,"Northwest Pipeline, Rockies Bas",NYM
UVZ15.NYM,European 3.5% Fuel Oil Rotterda,NYM
