Ticker,Name,Exchange
^PWP-IV,,ASE
^NQLA1000CADN,NASDAQ Lat America Basic Matls ,NIM
^NQASPA8300JPY,NASDAQ ASPA Banks JPY Index,NIM
^NQJP8600T,NASDAQ Japan Real Estate TR Ind,NIM
^KBWX-TC,,ASE
^NQNALCGBPN,NASDAQ N America Large Cap GBP ,NIM
SAA57Y.SW,SBI AAA-AA 5-7 Y,EBS
^YHOH705,,
^NQUSS0001CAD,NQ US Sm Cap Oil & Gas CAD Inde,NIM
3MFL.Z,STXE6P&H; EUR GR,ZRH
^YHOH706,,
^YHOH701,,
^YHOH700,,
^YHOH703,,
^YHOH702,,
SDNT.SW,SBI DNG AAA-BBB T,EBS
OMXS30DVP.ST,OMXS30DVP/OMXS,STO
^FBT-IV,,ASE
^YHOH709,,
^YHOH708,,
^EMVX-SO,,ASE
^PGF-EU,,ASE
^NQMY0001EUR,NASDAQ Malaysia Oil & Gas EUR I,NIM
^W8NCY,Dow Jones Global ex-Europe Cons,DJI
OMXNMCSEKGI.ST,OMXN MID CAP SEK GI,STO
20383421.SG,,
D6E2.DE,INAV DBXTR WCST EUR,GER
Q5Q.Z,STXETMSWS USD NR,ZRH
14670224.SG,SWMGL ENIN TR I USD,STU
SX64.L,,
2561635.SG,LXP COMPOSITE TR,STU
RLHK.L,RLHK HONG KONG TRI,FSI
^NG14.OS,Machinery,OSA
^NQMEA5000JPYT,NASDAQ MEA Cnsmr Svcs JPY TR In,NIM
^SPCBMICQWU10USD,S&P; Developed Ex-U.S. BMI (Capp,SNP
^DJW9NCG,,DJI
^NQJP5700N,NASDAQ Japan Travel & Leisure N,NIM
ST19.L,,
21259337.Z,STXAU150AUDG,ZRH
^GRNSOLAR,NASDAQ OMX Solar,NIM
SXW8CNSR.Z,STXG18XEUC&M; EUR NR,ZRH
AWHDY01G.L,FTSE ALL-WORLD HIGH,FSI
^DAG-IV,,ASE
^SPGSREP,S&P; GSCI Reduced Energy ER,SNP
^DWCBRW,Dow Jones U.S. Brewers Total St,DJI
^NQEM3500JPY,NASDAQ Emerging Food & Beverage,NIM
19503130.SG,,
Q5Y.Z,ESTXTMETE USD NR,ZRH
^YHOH704,,
^BKPT,BNY Mellon Portugal ADR Index,SNP
NTECL2.VI,CECE LV2 EUR,VIE
UKL5.L,,
